genre,prose,prophetic,prose,poetry,prose,instruction,prophetic,list,poetry,prophetic,list,instruction,poetry,prophetic,instruction,poetry,prose,list,instruction
domain2,Q,Q,N,Q,?,Q,?,N,?,N,?,N,D,D,D,N,D,Q,?
eng_TAM,,,,,,,,,,,,,,,,,,,
PAST..IND,807,576,1446,510,203,62,61,134,21,61,93,73,13,5,14,15,16,5,1
PRES.PERF.IND,1024,690,5,428,0,109,17,1,18,4,0,0,18,9,11,4,2,7,7
PRES..IND,344,825,6,616,0,38,82,1,84,17,0,1,20,16,5,3,0,0,4
PAST.PERF.IND,82,34,535,25,31,0,2,12,2,35,3,8,1,2,0,2,6,2,0
FUT..IND,11,39,0,9,0,3,4,0,0,0,0,0,1,2,0,0,0,0,0
PAST..SUBJ,19,6,18,15,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0
PRES..MOD,9,6,23,9,4,0,0,2,0,1,0,0,0,0,0,0,0,1,0
PRES..,3,11,7,8,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
PRES.PROG.IND,12,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST.PROG.IND,5,0,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
..,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
past.PERF_PROG.IND,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT.PERF.IND,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES.PERF_PROG.IND,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
