genre,prose,prophetic,prose,poetry,prose,instruction,prophetic,list,poetry,prophetic,list,instruction,poetry,prophetic,instruction,poetry,prose,list,instruction
domain2,Q,Q,N,Q,?,Q,?,N,?,N,?,N,D,D,D,N,D,Q,?
eng_TAM,,,,,,,,,,,,,,,,,,,
PAST..IND,-0.08,-0.16,0.24,-0.08,0.04,-0.01,-0.0,0.03,-0.01,0.0,0.02,0.02,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0
PRES.PERF.IND,0.26,0.08,-0.28,0.02,-0.03,0.03,-0.01,-0.02,-0.01,-0.01,-0.01,-0.01,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
PRES..IND,-0.1,0.22,-0.27,0.16,-0.03,-0.0,0.03,-0.02,0.04,-0.01,-0.01,-0.01,0.01,0.01,-0.0,-0.0,-0.0,-0.0,0.0
PAST.PERF.IND,-0.15,-0.2,0.51,-0.15,0.02,-0.02,-0.02,-0.0,-0.01,0.03,-0.01,0.0,-0.0,-0.0,-0.0,0.0,0.01,0.0,-0.0
FUT..IND,-0.08,0.34,-0.22,-0.04,-0.03,0.02,0.04,-0.02,-0.01,-0.01,-0.01,-0.01,0.01,0.03,-0.0,-0.0,-0.0,-0.0,-0.0
PAST..SUBJ,0.06,-0.13,0.08,0.07,-0.03,-0.02,-0.02,0.0,-0.01,0.0,-0.01,-0.01,-0.01,0.01,0.01,-0.0,-0.0,-0.0,-0.0
PRES..MOD,-0.08,-0.12,0.21,-0.01,0.05,-0.02,-0.02,0.02,-0.01,0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,0.02,-0.0
PRES..,-0.15,0.11,0.0,0.08,-0.03,-0.02,-0.02,0.02,0.02,0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES.PROG.IND,0.43,0.05,-0.21,-0.11,-0.03,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST.PROG.IND,0.14,-0.23,0.25,-0.17,0.05,-0.02,-0.02,-0.02,-0.01,0.06,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
..,0.16,0.17,-0.01,-0.17,-0.02,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
past.PERF_PROG.IND,-0.24,-0.23,0.79,-0.17,-0.02,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT.PERF.IND,-0.24,0.77,-0.21,-0.17,-0.02,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES.PERF_PROG.IND,0.76,-0.23,-0.21,-0.17,-0.02,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
