genre,prose,prophetic,prose,poetry,instruction,list,prophetic,instruction,poetry,list
domain2,Q,Q,N,Q,Q,N,N,N,N,Q
eng_TAM,,,,,,,,,,
PAST..IND,-0.08,-0.16,0.27,-0.08,-0.01,0.03,0.0,0.02,0.0,-0.0
PRES.PERF.IND,0.25,0.07,-0.31,0.01,0.03,-0.02,-0.02,-0.01,-0.0,0.0
PRES..IND,-0.1,0.25,-0.29,0.19,-0.0,-0.02,-0.01,-0.01,-0.0,-0.0
PAST.PERF.IND,-0.17,-0.22,0.54,-0.16,-0.03,-0.0,0.04,0.0,-0.0,0.0
FUT..IND,-0.09,0.38,-0.23,-0.04,0.02,-0.02,-0.01,-0.01,-0.0,-0.0
PAST..SUBJ,0.05,-0.15,0.07,0.07,-0.02,-0.0,0.0,-0.01,-0.0,-0.0
PRES..MOD,-0.09,-0.13,0.22,-0.01,-0.02,0.02,0.01,-0.01,-0.0,0.02
PRES..,-0.17,0.11,-0.01,0.07,-0.02,0.02,0.02,-0.01,-0.0,-0.0
PRES.PROG.IND,0.4,0.03,-0.23,-0.13,-0.02,-0.02,-0.01,-0.01,-0.0,-0.0
PAST.PROG.IND,0.15,-0.25,0.27,-0.18,-0.02,-0.02,0.07,-0.01,-0.0,-0.0
..,0.14,0.15,-0.03,-0.18,-0.02,-0.02,-0.01,-0.01,-0.0,-0.0
past.PERF_PROG.IND,-0.26,-0.25,0.77,-0.18,-0.02,-0.02,-0.01,-0.01,-0.0,-0.0
FUT.PERF.IND,-0.26,0.75,-0.23,-0.18,-0.02,-0.02,-0.01,-0.01,-0.0,-0.0
PRES.PERF_PROG.IND,0.74,-0.25,-0.23,-0.18,-0.02,-0.02,-0.01,-0.01,-0.0,-0.0
