period,genre,domain2,PAST..IND,PRES.PERF.IND,PAST.PERF.IND,PRES..IND,PRES..MOD,PAST..SUBJ,FUT..IND,PRES..,PAST.PROG.IND,PRES.PROG.IND,past.PERF_PROG.IND,PRES.PERF_PROG.IND,..
SBH,prose,Q,-0.31,0.34,-0.14,0.11,-0.01,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
SBH,prose,N,0.22,-0.3,0.17,-0.1,0.01,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
LBH,prose,N,0.15,-0.24,0.18,-0.08,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
LBH,prose,Q,-0.25,0.27,-0.1,0.08,-0.01,-0.0,0.0,-0.0,0.0,0.01,-0.0,-0.0,-0.0
SBH,instruction,Q,-0.29,0.33,-0.13,0.1,-0.01,-0.01,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SBH,prose,?,0.32,-0.23,-0.01,-0.08,-0.0,-0.01,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
SBH,poetry,Q,0.15,-0.1,-0.09,0.05,0.0,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
LBH,list,N,0.34,-0.21,-0.07,-0.07,0.0,0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0
LBH,prose,?,0.26,-0.22,0.03,-0.08,0.03,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
LBH,list,?,0.42,-0.22,-0.09,-0.08,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SBH,instruction,N,0.35,-0.22,-0.02,-0.08,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SBH,list,N,0.33,-0.22,-0.02,-0.08,0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
LBH,poetry,Q,0.19,-0.07,-0.08,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SBH,instruction,D,-0.12,0.15,-0.13,0.09,-0.01,0.03,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SBH,prose,D,0.13,-0.13,0.1,-0.08,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SBH,list,?,0.45,-0.22,-0.13,-0.08,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SBH,instruction,?,-0.45,0.48,-0.13,0.12,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SBH,prophetic,Q,-0.35,0.38,-0.13,0.12,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SBH,list,Q,-0.22,0.45,-0.13,-0.08,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SBH,poetry,N,0.45,-0.22,-0.13,-0.08,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
LBH,list,Q,-0.22,-0.05,0.21,-0.08,0.16,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
LBH,prose,D,-0.05,-0.22,0.37,-0.08,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
