,SBH,SBH,LBH,LBH,SBH,SBH,LBH,SBH,SBH,LBH,SBH,SBH,SBH,LBH
,prose,prose,prose,prose,instruction,poetry,list,instruction,list,poetry,prophetic,list,poetry,list
,Q,N,N,Q,Q,Q,N,N,N,Q,Q,Q,N,Q
PAST..IND,0.31,3.01,2.14,0.38,0.32,2.1,6.95,7.69,6.42,2.58,0.22,0.44,inf,0.44
PRES.PERF.IND,6.53,0.01,0.0,3.24,4.1,0.46,0.03,0.0,0.0,0.59,4.93,6.58,0.0,0.65
PAST.PERF.IND,0.16,3.95,3.26,0.23,0.0,0.28,0.45,0.79,0.79,0.36,0.0,0.0,0.0,3.37
PRES..IND,4.42,0.02,0.04,2.19,2.53,1.64,0.12,0.0,0.0,0.62,2.88,0.0,0.0,0.0
PAST..SUBJ,1.27,1.34,0.96,0.71,0.0,0.0,1.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..MOD,0.44,2.57,1.02,0.37,0.0,1.39,1.42,0.0,2.4,0.0,0.0,0.0,0.0,27.19
FUT..IND,2.83,0.0,0.0,2.15,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..,0.59,4.01,0.0,0.0,0.0,0.0,4.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PROG.IND,3.66,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PROG.IND,0.39,3.44,0.0,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
past.PERF_PROG.IND,0.0,2.29,8.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF_PROG.IND,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
..,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
