,SBH,LBH,SBH,LBH,SBH
,prose,prose,poetry,poetry,prophetic
PAST..IND,0.8,1.12,2.26,2.47,0.21
PRES.PERF.IND,1.51,0.69,0.45,0.65,5.39
PAST.PERF.IND,0.76,1.57,0.24,0.34,0.0
PRES..IND,1.28,0.68,1.6,0.66,3.06
PRES..MOD,0.98,1.06,1.19,0.0,0.0
PAST..SUBJ,1.64,0.74,0.0,0.0,0.0
PAST.PROG.IND,1.42,0.85,0.0,0.0,0.0
FUT..IND,1.42,0.85,0.0,0.0,0.0
PRES.PROG.IND,0.74,1.65,0.0,0.0,0.0
PRES..,inf,0.0,0.0,0.0,0.0
past.PERF_PROG.IND,0.32,3.84,0.0,0.0,0.0
PRES.PERF_PROG.IND,inf,0.0,0.0,0.0,0.0
..,inf,0.0,0.0,0.0,0.0
