eng_TAM,Q,N
PAST..IND ~ PRES.PERF.IND,575,3
PRES..IND ~ PRES.PERF.IND,397,8
PAST..IND ~ PAST.PERF.IND,86,297
PAST..IND ~ PRES..IND,180,12
FUT..IND ~ PRES..IND,110,1
FUT..IND ~ PRES.PERF.IND,88,6
PAST..IND ~ PRES..,26,46
PAST.PERF.IND ~ PRES.PERF.IND,46,2
FUT..IND ~ PRES..MOD,45,0
PAST..IND ~ PAST.PROG.IND,7,21
PRES.. ~ PRES.PERF.IND,28,0
PAST..IND ~ PRES..MOD,11,14
PRES.PERF.IND ~ PRES.PROG.IND,24,0
PAST..IND ~ PAST..SUBJ,9,15
PRES..IND ~ PRES..MOD,22,1
PRES..IND ~ PRES.PROG.IND,20,0
.. ~ PAST..IND,12,5
PRES.. ~ PRES..IND,15,1
PRES..MOD ~ PRES.PERF.IND,11,0
FUT..IND ~ PAST..IND,9,1
.. ~ PRES.PERF.IND,9,0
.. ~ PRES..IND,8,0
PAST.PERF.IND ~ PAST.PROG.IND,0,5
PRES.PERF.IND ~ PRES.PERF_PROG.IND,5,0
PAST..IND ~ PRES.PROG.IND,5,0
PAST..SUBJ ~ PRES.PERF.IND,3,1
PAST..SUBJ ~ PRES..MOD,4,0
PAST.PERF.IND ~ past.PERF_PROG.IND,0,4
PAST.PROG.IND ~ PRES.PERF.IND,4,0
.. ~ PAST..SUBJ,2,2
PAST.PERF.IND ~ PRES..IND,3,0
PAST.PERF.IND ~ PRES..MOD,2,1
PAST.PROG.IND ~ PRES..,0,3
.. ~ PAST.PERF.IND,1,2
PRES.. ~ PRES..MOD,3,0
FUT..IND ~ PRES..,3,0
.. ~ PRES..MOD,0,2
PAST..SUBJ ~ PAST.PERF.IND,1,1
.. ~ PRES..,2,0
PAST.PERF.IND ~ PRES..,0,2
FUT..IND ~ FUT..MOD,2,0
FUT..IND ~ FUT.PERF.IND,2,0
PRES.PERF_PROG.IND ~ PRES.PROG.IND,1,0
FUT..IND ~ PAST..SUBJ,1,0
FUT..IND ~ PRES.PROG.IND,1,0
FUT..MOD ~ PRES.PERF.IND,1,0
FUT.PERF.IND ~ PRES.PERF.IND,1,0
PAST..IND ~ past.PERF_PROG.IND,0,1
PAST..SUBJ ~ PRES..,0,1
PAST..SUBJ ~ PRES..IND,1,0
PAST.PROG.IND ~ PRES..IND,1,0
PAST.PROG.IND ~ past.PERF_PROG.IND,0,1
PRES.. ~ PRES.PROG.IND,1,0
.. ~ FUT..IND,1,0
