,prophetic,prose,poetry,prose,instruction,prophetic,instruction,prose,prophetic,list,poetry,poetry,list,prophetic,instruction,poetry,prose,list,instruction
,Q,Q,Q,N,Q,N,N,?,?,?,D,?,N,D,D,N,D,Q,?
PAST..IND ~ PRES.PERF.IND,0.96,3.8,1.08,0.01,1.56,0.09,0.0,0.0,0.23,0.0,1.48,2.12,0.0,0.0,1.97,0.0,0.0,0.0,0.0
PRES..IND ~ PRES.PERF.IND,1.48,0.67,2.4,0.03,2.46,0.47,0.0,0.0,1.83,0.0,0.41,4.61,0.0,2.29,1.14,3.05,0.0,0.0,0.0
PAST..IND ~ PAST.PERF.IND,0.16,0.25,0.15,23.4,0.18,3.29,23.4,34.08,0.0,26.57,0.0,0.0,11.16,0.0,0.0,0.0,1.57,0.0,0.0
PAST..IND ~ PRES..IND,0.82,0.68,2.46,0.18,2.52,0.33,0.0,0.68,2.83,0.86,10.55,0.93,2.58,1.29,6.91,2.58,0.0,0.0,0.0
FUT..IND ~ PRES..IND,5.06,0.38,0.78,0.0,0.24,0.0,0.0,0.0,3.23,0.0,0.0,0.0,0.0,9.79,0.0,4.81,0.0,0.0,0.0
FUT..IND ~ PRES.PERF.IND,8.73,0.22,0.36,0.0,0.0,5.74,0.0,0.0,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND ~ PRES..,0.27,0.3,0.7,7.47,0.39,3.3,1.41,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT..IND ~ PRES..MOD,7.06,0.31,0.46,0.0,0.0,0.0,0.0,0.0,3.72,0.0,0.0,0.0,0.0,14.16,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND ~ PRES.PERF.IND,0.51,7.27,0.46,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND ~ PAST.PROG.IND,0.16,0.53,0.14,9.03,0.0,2.53,3.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.21,0.0,0.0
PRES.. ~ PRES.PERF.IND,0.37,3.51,1.92,0.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND ~ PRES.PROG.IND,0.56,6.29,0.54,0.0,0.0,0.0,0.0,0.0,7.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
