lex,stem,person,sum
אמר,qal,p3,689
היה,qal,p3,416
עשׂה,qal,p3,389
בוא,qal,p3,225
נתן,qal,p3,200
דבר,piel,p3,179
צוה,piel,p3,167
נתן,qal,p1,104
מלך,qal,p3,98
עשׂה,qal,p2,90
שׁלח,qal,p3,90
שׁמע,qal,p3,82
ראה,qal,p1,78
יצא,qal,p3,73
ידע,qal,p1,70
הלך,qal,p3,70
ראה,qal,p3,69
עשׂה,qal,p1,69
שׁמע,qal,p1,66
לקח,qal,p3,66
אמר,qal,p1,65
עלה,qal,p3,62
ידע,qal,p3,61
נכה,hif,p3,56
דבר,piel,p1,55
מות,qal,p3,51
נפל,qal,p3,50
ידע,qal,p2,49
ילד,qal,p3,46
עבר,qal,p3,45
מלא,qal,p3,45
שׂים,qal,p3,45
חטא,qal,p1,45
שׁבע,nif,p3,43
בנה,qal,p3,42
צוה,piel,p1,41
בוא,hif,p3,40
ילד,hif,p3,40
קרא,qal,p3,40
אכל,qal,p3,40
שׁמע,qal,p2,39
היה,qal,p1,38
ישׁב,qal,p3,38
מצא,qal,p3,37
עזב,qal,p3,34
חטא,qal,p3,31
היה,qal,p2,31
חזק,hif,p3,31
נתן,qal,p2,31
מצא,qal,p1,31
נשׂא,qal,p3,31
ירד,qal,p3,30
אהב,qal,p3,30
עמד,qal,p3,30
קרא,qal,p1,28
שׁוב,qal,p3,28
בוא,qal,p1,27
שׁבע,nif,p1,27
יכל,qal,p3,27
כון,hif,p3,27
עלה,hif,p3,26
עשׂה,nif,p3,25
יצא,hif,p3,23
חפץ,qal,p3,23
ראה,qal,p2,23
שׁוב,hif,p3,23
קרא,nif,p3,22
סור,qal,p3,22
יצא,hif,p1,21
מצא,nif,p3,21
חלל,hif,p3,21
דבר,piel,p2,21
בחר,qal,p3,20
שׁלח,piel,p3,20
הרג,qal,p3,20
ברך,piel,p3,19
נתן,nif,p3,19
ילד,pual,p3,19
נגד,hif,p3,19
שׂרף,qal,p3,19
נטה,qal,p3,18
לקח,qal,p1,18
שׁמר,qal,p3,18
קום,qal,p3,18
בחר,qal,p1,18
הפך,qal,p3,17
כרת,qal,p3,17
אמר,qal,p2,17
בקשׁ,piel,p3,17
שׂנא,qal,p1,17
אבה,qal,p3,17
אהב,qal,p1,16
נצל,hif,p3,16
שׁאר,nif,p3,16
פקד,qal,p3,16
מאס,qal,p3,16
ירא,qal,p3,16
בנה,qal,p1,15
יעץ,qal,p3,15
שׁאל,qal,p3,15
שׁדד,pual,p3,15
אסף,nif,p3,14
חרה,qal,p3,14
שׂים,qal,p2,14
שׁכח,qal,p3,14
ראה,nif,p3,14
ראה,hif,p3,14
מלא,piel,p3,14
נסע,qal,p3,14
שׂים,qal,p1,13
נשׂא,qal,p1,13
