eng_TAM,qal,hif,piel,nif,pual,hit,hof,hotp,tif,poel,poal,nit,hsht,etpa
PAST..IND,0.66,0.13,0.11,0.07,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,0.69,0.12,0.14,0.04,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..IND,0.76,0.05,0.06,0.11,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,0.63,0.15,0.14,0.05,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT..IND,0.57,0.09,0.19,0.13,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..SUBJ,0.74,0.11,0.11,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..MOD,0.8,0.04,0.11,0.04,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..,0.72,0.09,0.16,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PROG.IND,0.78,0.06,0.06,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PROG.IND,0.85,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
..,0.6,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
past.PERF_PROG.IND,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT.PERF.IND,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF_PROG.IND,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
